our_id,hospital,longitude,latitude,nLSOA,medianIMD,UrbScore,urb_binary,rank_perc
1,Aintree University Hospital,-2.93,53.47,216,5875,2.95,urban,7
2,Airedale General Hospital,-1.96,53.90,148,17703,1.78,rural,41
3,St. Peter's Hospital,-0.53,51.38,187,26228,2.84,urban,97
4,King George's Hospital,0.07,51.56,200,9889,3.00,urban,40
5,Queen's Hospital,0.19,51.58,238,16146,2.84,urban,78
6,Barnsley Hospital,-1.50,53.56,167,10592,2.46,rural,2
7,Newham General Hospital,0.03,51.52,138,7080,3.00,urban,16
8,The Royal London Hospital,-0.06,51.52,186,6152,3.00,urban,9
9,Whipps Cross University Hospital,0.00,51.58,200,11295,2.99,urban,47
10,Basildon University Hospital,0.46,51.57,180,18018,1.92,rural,47
11,Bedford Hospital South Wing,-0.47,52.13,160,21357,1.63,rural,74
12,Blackpool Victoria Hospital,-3.05,53.82,193,12357,1.94,rural,9
13,Royal Bolton Hospital,-2.43,53.58,217,8770,2.90,urban,24
14,Bradford Royal Infirmary,-1.75,53.79,303,9598,2.94,urban,38
15,Princess Royal Hospital,-0.15,50.83,191,20648,1.94,rural,70
16,Royal Sussex County Hospital,-0.12,50.82,101,16693,1.90,rural,32
17,Stoke Mandeville Hospital,-0.80,51.80,164,28074,1.59,rural,99
18,Calderdale Royal Hospital,-1.86,53.70,123,14090,2.63,urban,64
19,Huddersfield Royal Infirmary,-1.78,53.65,140,14882,2.66,urban,71
20,Addenbrooke's,0.14,52.17,250,24126,1.59,rural,88
21,Chelsea and Westminster Hospital,-0.18,51.48,100,16926,3.00,urban,84
22,West Middlesex University Hospital,-0.34,51.48,191,16330,3.00,urban,79
23,Chesterfield Royal Hospital,-1.40,53.24,171,17338,2.03,rural,39
24,Sunderland Royal Hospital,-1.41,54.90,191,7698,2.71,urban,19
25,Countess of Chester Hospital,-2.90,53.21,125,21555,1.82,rural,75
26,Darlington Memorial Hospital,-1.55,54.52,172,16535,1.59,rural,31
27,University Hospital of North Durham,-1.59,54.79,199,11644,1.62,rural,5
28,Croydon University Hospital,-0.11,51.39,260,12979,3.00,urban,57
29,Darent Valley Hospital,0.26,51.44,245,15007,2.74,urban,72
30,Bassetlaw Hospital,-1.12,53.30,105,14538,1.52,rural,23
31,Doncaster Royal Infirmary,-1.13,53.52,214,11417,2.39,rural,4
32,Dorset County Hospital,-2.45,50.71,87,17850,1.63,rural,45
33,Lister Hospital,-0.15,51.49,74,12548,3.00,urban,55
34,Macclesfield District General Hospital,-2.13,53.26,98,22109,1.79,rural,79
35,Queen Elizabeth The Queen Mother Hospital,1.39,51.38,193,14463,1.82,rural,22
36,William Harvey Hospital (Ashford),0.87,51.15,212,17853,1.67,rural,46
37,Royal Blackburn Hospital,-2.48,53.75,244,8703,1.89,rural,0
38,Colchester General Hospital,0.90,51.91,226,17052,1.58,rural,37
39,Ipswich Hospital,1.20,52.06,225,18439,1.72,rural,50
40,Conquest Hospital,0.57,50.89,113,13742,1.72,rural,17
41,Eastbourne District General Hospital,0.27,50.79,123,19527,1.82,rural,62
42,Epsom Hospital,-0.27,51.33,138,29077,2.75,urban,100
43,St. Helier Hospital,-0.18,51.38,157,23500,3.00,urban,93
44,Frimley Park Hospital,-0.74,51.32,276,27906,1.95,rural,98
45,Wexham Park Hospital,-0.58,51.53,276,21966,1.93,rural,78
46,Queen Elizabeth Hospital,-1.58,54.94,150,10320,2.86,urban,41
47,George Eliot Hospital,-1.48,52.51,151,16808,1.85,rural,33
48,Cheltenham General Hospital,-2.07,51.89,145,23335,1.75,rural,87
49,Gloucestershire Royal Hospital,-2.23,51.87,209,19285,1.75,rural,58
50,The Great Western Hospital,-1.73,51.54,243,23122,1.62,rural,85
51,St. Thomas',-0.12,51.50,65,8545,3.00,urban,22
52,Basingstoke and North Hampshire Hospital,-1.11,51.28,185,25804,1.72,rural,95
53,Royal Hampshire County Hospital,-1.33,51.06,90,27261,1.66,rural,96
54,Harrogate District Hospital,-1.52,53.99,124,24125,1.65,rural,88
55,Homerton University Hospital,-0.05,51.55,170,6672,3.00,urban,12
56,Hull Royal Infirmary,-0.36,53.74,307,14165,1.83,rural,19
57,Charing Cross Hospital,-0.22,51.49,208,14859,3.00,urban,69
58,St. Mary's Hospital (HQ),-0.17,51.52,139,8913,3.00,urban,28
59,St. Mary's Hospital,-1.30,50.71,102,13965,1.73,rural,18
60,James Paget University Hospital,1.72,52.56,157,13149,1.60,rural,12
61,Kettering General Hospital,-0.74,52.40,193,17623,1.75,rural,40
62,King's College Hospital,-0.09,51.47,198,7096,3.00,urban,17
63,Princess Royal University Hospital,0.06,51.37,184,24568,2.65,urban,95
64,Kingston Hospital,-0.28,51.41,161,26268,2.98,urban,98
65,Chorley and South Ribble Hospital,-2.64,53.67,96,20323,1.79,rural,67
66,Royal Preston Hospital,-2.71,53.79,150,20148,1.83,rural,65
67,Leeds General Infirmary,-1.55,53.80,194,9077,2.96,urban,29
68,St. James's Hospital,-1.52,53.81,173,16404,2.66,urban,81
69,Queen Elizabeth Hospital,0.05,51.48,253,15461,3.00,urban,74
70,University Hospital Lewisham,-0.02,51.45,220,10963,3.00,urban,43
71,Ealing Hospital,-0.35,51.51,157,12178,3.00,urban,53
72,Northwick Park Hospital,-0.32,51.58,302,16756,3.00,urban,83
